Smiles
COc1cc(-c2cncc(-c3ccc(N4CCN(C(C)C)CC4)cc3)c2C)cc(F)c1C(N)=O   
CNC(=O)[C@H]1C[C@@H](C1)n2c3cc(ccc3nc2c4cc(OC)c(OC)c(OC)c4)C(=O)NCC5CCN(C)CC5
CNC(=O)[C@@H]1C[C@H](C1)n2c3cc(ccc3nc2c4cc(OC)c(OC)c(OC)c4)C(=O)NCCCN(C)C
COc1cc(cc(OC)c1OC)c2cc(cnc2N)c3cccc(O)c3
COc1cc(cc(OC)c1OC)c2cncc(c2C)c3ccc(cc3)C4CCN(C)CC4
COc1cc(cc(OC)c1OC)c2cncc(c2)c3ccc(cc3)N4CCNCC4
C1CN(CCN1)c2ccc(cc2)c3cnc4c(occ4c5ccnc6ccccc56)c3

